Название	x	y	h
201	69647,714	54643,581	138,3
202	69679,701	54614,743	138,3
203	69700,859	54599,221	138,3
204	69715,468	54641,395	138,3
205	69729,611	54687,326	138,3
206	69713,362	54722,335	138,3
207	69678,532	54773,75	138,3
208	69636,387	54823,336	138,3
209	69605,39	54862,63	138,3
210	69570,361	54917,006	138,3
211	69527,915	54955,573	138,3
212	69580,502	54958,528	138,3
213	69625,691	54940,39	138,3
214	69679,687	54915,688	138,3
215	69709,127	54869,714	138,3
216	69721,842	54842,665	138,3
217	69748,989	54805,006	138,3
218	67899,809	57262,907	138,3
219	67863,28	57229,834	138,3
220	67816,809	57189,326	138,3
221	67788,745	57135,611	138,3
222	67781,739	57122,372	138,3
223	67732,052	57099,599	138,3
224	67701,878	57067,961	138,3
225	67700,116	57014,16	138,3
226	67683,556	56956,592	138,3
227	67664,675	56897,631	138,3
228	67668,042	56826,434	138,3
229	67676,074	56753,182	138,3
230	67673,64	56673,142	138,3
231	67679,605	56590,739	138,3
232	67667,996	56519,702	138,3
233	67661,88	56433,51	138,3
234	67663,565	56340,521	138,3
235	67636,507	56278,919	138,3
236	67597,822	56233,088	138,3
237	67543,764	56189,529	138,3
238	67509,94	56159,931	138,3
239	67502,984	56288,435	138,3
240	67495,354	56359,103	138,3
241	67501,132	56486,059	138,3
242	67480,997	56506,106	138,3
243	67513,304	56553,572	138,3
244	67536,847	56624,547	138,3
245	67546,628	56688,246	138,3
246	67567,453	56787,265	138,3
247	67579,952	56889,324	138,3
248	67587,585	56992,05	138,3
249	67595,931	57114,88	138,3
250	67606,319	57232,471	138,3
251	67620,639	57334,601	138,3
252	67627,881	57399,766	138,3
253	67637,168	57499,973	138,3
254	67586,198	57543,662	138,3
255	67546,077	57579,367	138,3
256	67451,005	57631,879	138,3
257	67447,352	57638,507	138,3
258	67370,265	57662,674	138,3
259	67325,734	57677,609	138,3
260	67309,745	57631,052	138,3
261	67292,939	57577,009	138,3
262	67279,852	57534,007	138,3
263	67265,993	57476,932	138,3
264	67257,681	57421,73	138,3
265	67243,714	57360,492	138,3
266	67237,617	57316,663	138,3
267	67228,961	57267,434	138,3
268	67223,007	57209,889	138,3
269	67216,119	57140,67	138,3
270	67208,183	57073,795	138,3
271	67205,104	57018,228	138,3
272	67202,829	56953,774	138,3
273	67187,389	56903,017	138,3
274	67178,927	56841,457	138,3
275	67176,958	56795,56	138,3
276	67174,809	56763,642	138,3
277	67100,047	56773,638	138,3
278	67033,638	56834,818	138,3
279	66987,227	56913,128	138,3
280	66961,591	56966,549	138,3
281	66984,202	57058,724	138,3
282	67000,724	57121,397	138,3
283	67019,129	57187,863	138,3
284	67038,722	57262,279	138,3
285	67062,187	57350,183	138,3
286	67078,412	57423,373	138,3
287	67098,18	57507,135	138,3
288	67110,023	57572,516	138,3
289	67121,044	57630,985	138,3
290	67139,569	57688,872	138,3
291	67174,083	57761,391	138,3
292	67194,761	57783,016	138,3
293	67145,641	57820,632	138,3
294	67034,789	57875,869	138,3
295	66995,383	57883,375	138,3
296	66962,868	57840,512	138,3
297	66939,845	57787,691	138,3
298	66924,019	57736,847	138,3
299	66907,421	57690,8	138,3
300	66897,571	57639,622	138,3
